sentiment,type_token_ratio,avg_word_length,exclamation_dens,question_dens,emoji_count,positive_ratio,negative_ratio,sentiment_polarity,first_person_dens,sentence_count
-1,0.8260869565217391,5.608695652173913,0.0,0.0,0.0,0.122,0.284,-0.12380952380952381,0.0,1.0
-1,0.8157894736842105,4.684210526315789,0.0,0.0,0.0,0.258,0.066,-0.25,0.0,1.0
-1,0.85,5.5,0.0,0.0,0.0,0.075,0.136,-0.25,0.0,1.0
-1,1.0,5.8,0.0,0.0,0.0,0.237,0.0,-0.025,0.0,1.0
-1,0.9285714285714286,5.285714285714286,0.0,0.0,0.0,0.0,0.059,-0.125,0.0,1.0
-1,1.0,6.125,0.0,0.0,0.0,0.254,0.27,-0.19999999999999996,0.0,1.0
-1,0.9696969696969697,5.484848484848484,0.0,0.0,0.0,0.052,0.336,-0.09999999999999996,0.0,1.0
-1,0.9375,5.125,0.0,0.0,0.0,0.0,0.324,-0.25,0.0,1.0
-1,0.7407407407407407,4.555555555555555,0.0,0.0,0.0,0.0,0.252,-0.13333333333333333,0.0,1.0
-1,1.0,5.833333333333333,0.0,0.0,0.0,0.0,0.112,-0.275,0.0,1.0
-1,0.9375,4.5,0.0,0.0,0.0,0.0,0.189,-0.16666666666666666,0.0,1.0
-1,0.8787878787878788,5.121212121212121,0.0,0.0,0.0,0.125,0.292,-0.75,0.0,1.0
-1,0.8421052631578947,5.578947368421052,0.0,0.0,0.0,0.093,0.289,-0.375,0.0,1.0
-1,0.8666666666666667,4.666666666666667,0.0,0.0,0.0,0.146,0.0,-0.05357142857142857,0.0,1.0
-1,1.0,6.3125,0.0,0.0,0.0,0.146,0.125,-0.07777777777777778,0.0,1.0
-1,0.8666666666666667,4.5,0.0,0.0,0.0,0.0,0.094,-0.075,0.0,1.0
-1,1.0,5.545454545454546,0.0,0.0,0.0,0.0,0.123,-0.19583333333333336,0.0,1.0
-1,1.0,5.391304347826087,0.0,0.0,0.0,0.086,0.183,-0.024999999999999994,0.0,1.0
-1,1.0,4.4,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,1.0
-1,0.9375,6.3125,0.0,0.0,0.0,0.149,0.046,-0.09999999999999998,0.0,1.0
-1,0.9047619047619048,5.119047619047619,0.0,0.0,0.0,0.153,0.255,-0.21599999999999997,0.0,1.0
-1,0.9230769230769231,5.0256410256410255,0.0,0.0,0.0,0.084,0.405,-0.07083333333333333,0.0,1.0
-1,0.9230769230769231,5.538461538461538,0.0,0.0,0.0,0.211,0.05,-0.06666666666666665,0.0,1.0
-1,1.0,7.0,0.0,0.0,0.0,0.12,0.278,-0.55,0.0,1.0
-1,1.0,5.928571428571429,0.0,0.0,0.0,0.0,0.0,-0.03181818181818183,0.0,1.0
-1,0.85,5.375,0.0,0.0,0.0,0.0,0.138,-0.03749999999999999,0.0,1.0
-1,1.0,5.185185185185185,0.0,0.0,0.0,0.0,0.147,-0.05,0.0,1.0
-1,1.0,3.7142857142857144,0.0,0.0,0.0,0.277,0.277,-0.2,0.0,1.0
